PosX,PosY,PosZ,H(0.0-1.0),S(0.0-1.0),L(0.0-1.0),R(0-255),G(0-255),B(0-255),RGB(16)
-0.1515204,-0.02352941,-0.03949507,0.2094179,0.1566265,0.4882353,134,144,105,869069
0.02868253,0.509804,-0.1696506,0.973344,0.2,0.754902,205,180,184,cdb4b8
-0.2075921,-0.06666666,-0.6817933,0.04704004,0.7142857,0.4666667,204,82,33,cc5221
-0.2114171,-0.2156863,-0.1575165,0.1480889,0.27,0.3921569,127,121,73,7f7949
-0.3174602,-0.3333333,-0.2035712,0.15925,0.4,0.3333333,119,116,50,777432
0.08742172,0.3294117,0.1341548,0.5919172,0.1695906,0.6647059,154,168,184,9aa8b8
-0.03301514,-0.1294118,0.01366924,0.312475,0.03603604,0.4352941,108,115,107,6c736b
0.09668809,0.7176471,0.1675497,0.5833,0.2777778,0.8588235,209,219,229,d1dbe5
-0.6115564,-0.145098,-0.766202,0.1072102,0.9908257,0.427451,217,140,1,d98c01
0.06959524,0.3803922,0.1083468,0.5908727,0.1392405,0.6901961,165,175,187,a5afbb
-0.02415661,0.3686275,-0.3513707,0.01092466,0.378882,0.6843138,205,148,144,cd9490
-0.199436,0.4117647,-0.159162,0.1428,0.28,0.7058824,201,195,159,c9c39f
-0.05614631,0.7058823,-0.08740919,0.09087278,0.1466667,0.8529412,223,218,211,dfdad3
0.08770738,0.5529412,5.511732E-05,0.7499,0.1052632,0.7764706,198,192,204,c6c0cc
-0.3128296,-0.6196078,-0.381815,0.1092459,0.628866,0.1901961,79,58,18,4f3a12
0,0.7960784,0,1,0,0.8980392,229,229,229,e5e5e5
-0.2513021,-0.4392157,-0.6907462,0.05553338,0.8181818,0.2803922,130,52,13,82340d
0.08575127,0.5568628,0.1102334,0.605221,0.1681416,0.7784314,189,196,208,bdc4d0
0.01223097,0.3960785,-0.0336189,0.9444667,0.03896104,0.6980392,181,175,177,b5afb1
-0.3980682,0.1568627,-0.771551,0.07580743,0.8790697,0.5784314,242,139,53,f28b35
-0.6203525,-0.1568627,-0.7447152,0.1105403,0.9813954,0.4215686,213,142,1,d58e01
0.07557376,0.3725491,0.02970227,0.6904,0.0875,0.6862745,170,168,182,aaa8b6
-0.2078012,-0.3137255,-0.165838,0.1428,0.28,0.3431373,112,105,63,70693f
-0.1643541,0.07450986,-0.03944159,0.212515,0.1694916,0.5372549,146,157,117,929d75
-0.5801826,-0.172549,-0.737448,0.1060936,0.9526066,0.4137255,206,133,5,ce8505
-0.6715134,-0.09019607,-0.7354825,0.117769,1,0.454902,232,164,0,e8a400
-0.1317285,0.5137255,-0.1420548,0.119,0.2258064,0.7568628,207,199,179,cfc7b3
-0.02916385,0.2,-0.06058719,0.07139999,0.06862745,0.6,160,152,146,a09892
-0.3669399,0.01176476,-0.6857184,0.07820005,0.7777778,0.5058824,227,123,31,e37b1f
0.07172025,0.3294117,0.002934209,0.7434923,0.07602339,0.6647059,168,162,176,a8a2b0
-0.7139239,-0.03529412,-0.6993332,0.1266431,1,0.4823529,246,187,0,f6bb00
0.04599847,0.4549019,0.1264348,0.5555333,0.1510791,0.727451,174,189,196,aebdc4
0.06208683,0.2705883,0.1075896,0.5833,0.1290323,0.6352941,150,162,174,96a2ae
-0.3670007,-0.1058823,-0.6542388,0.08136281,0.7543859,0.4470588,200,112,28,c8701c
-0.1190712,0.1294118,-0.1782935,0.09371255,0.2162162,0.5647059,168,147,120,a89378
-0.0849755,-0.2901961,-0.08698615,0.1231392,0.1270718,0.354902,102,96,79,66604f
-0.502564,-0.2862745,-0.8157672,0.08787691,0.9999999,0.3568628,182,95,0,b65f00
-0.1620142,0.0862745,-0.4278686,0.05760938,0.4592275,0.5431373,192,122,84,c07a54
-0.2163879,-0.2823529,-0.2494881,0.1137111,0.3442623,0.3588235,123,103,60,7b673c
0.007241328,0.5137255,-0.2212892,0.9947938,0.2580645,0.7568628,209,177,178,d1b1b2
-0.1867142,0.3843138,-0.2194506,0.1122,0.3121019,0.6921569,201,185,152,c9b998
0.151023,0.7176471,0.201083,0.6025231,0.3611111,0.8588235,206,216,232,ced8e8
-0.1140098,0.5333333,-0.2050096,0.08077579,0.2773109,0.7666667,212,195,178,d4c3b2
-0.5572298,-0.01176471,-0.692466,0.1078438,0.8888889,0.4941176,238,159,13,ee9f0d
-0.6310871,-0.1882353,-0.7525268,0.1110667,1,0.4058824,207,138,0,cf8a00
-0.7507124,-0.01176471,-0.6484478,0.136612,0.9920635,0.4941176,251,205,1,fbcd01
-0.6112911,-0.2117647,-0.7500437,0.1088341,0.9900498,0.3941177,200,130,0,c88200
-0.3936307,0.09019613,-0.7630019,0.07580303,0.862069,0.5450981,239,130,39,ef8227
-0.4168077,-0.4745098,-0.3200705,0.145775,0.5970148,0.2627451,107,97,27,6b611b
-0.5826615,0.137255,-0.6263561,0.1192505,0.8636364,0.5686275,240,186,50,f0ba32
0.005625969,0.3058825,-0.08048746,0.9888933,0.08474576,0.6529412,174,159,160,ae9fa0
-0.1395749,0.02352941,-0.3549654,0.05962527,0.3815261,0.5117647,178,117,82,b27552
-0.7293903,0.02352941,-0.6718967,0.1315263,0.9919679,0.5117647,254,202,7,feca07
0.06990981,0.5215687,0.1211459,0.5833,0.1639344,0.7607843,184,194,204,b8c2cc
-0.1047992,0.02745104,-3.414792E-08,0.25,0.1048387,0.5137255,131,144,118,839076
0.04493069,0.6941177,0.0585866,0.604125,0.1025641,0.8470588,212,215,220,d4d7dc
0.1164911,0.6627451,0.1294528,0.61662,0.2325581,0.8313726,202,208,222,cad0de
-0.005599528,0.2980392,0.04766655,0.4813889,0.05027933,0.6490196,160,170,169,a0aaa9
0.1161161,0.6392157,0.1837146,0.5897077,0.2826087,0.8196079,196,208,222,c4d0de
-0.1155782,-0.01960778,-0.07162801,0.1617,0.136,0.4901961,142,141,108,8e8d6c
-0.05520086,0.2039216,-0.288953,0.03004259,0.3004927,0.6019608,184,133,122,b8857a
-0.3053074,-0.02745092,-0.1959257,0.1591955,0.3629032,0.4862745,169,164,79,a9a44f
-0.2232322,-0.427451,-0.695725,0.04941528,0.8082192,0.2862745,132,49,13,84310d
-0.6340818,-0.1372549,-0.7609872,0.1105619,0.9999999,0.4313726,220,146,0,dc9200
-0.4529681,-0.2039216,-0.3199994,0.1521131,0.5665024,0.3980392,158,148,44,9e942c
-0.6753618,-0.1098039,-0.7292665,0.1188952,1,0.445098,227,162,0,e3a200
-0.3639722,-0.2823529,-0.6910912,0.07715032,0.8142077,0.3588235,166,85,16,a65510
-0.22315,0.1921569,-0.297118,0.1025231,0.3786408,0.5960785,191,161,113,bfa171
-0.2525706,-0.01960784,-0.4544273,0.08073694,0.52,0.4901961,190,123,60,be7b3c
-0.7631007,0.09803927,-0.6388001,0.1390748,1,0.5490196,255,217,25,ffd919
-0.6674243,-0.07843137,-0.7290739,0.1179785,0.9914894,0.4607843,234,165,1,eaa501
-0.06224157,0.8784313,-0.1239906,0.07404449,0.2903226,0.9392157,244,239,234,f4efea
